All calculations;Synchronous Machine;Synchronous Machine;Synchronous Machine;Synchronous Machine;Synchronous Machine;Synchronous Machine;Synchronous Machine(1);Synchronous Machine(1);Synchronous Machine(1);Synchronous Machine(1);Synchronous Machine(1);Synchronous Machine(1);Synchronous Machine(12);Synchronous Machine(12);Synchronous Machine(12);Synchronous Machine(12);Synchronous Machine(12);Synchronous Machine(12);Synchronous Machine(2);Synchronous Machine(2);Synchronous Machine(2);Synchronous Machine(2);Synchronous Machine(2);Synchronous Machine(2);Synchronous Machine(21);Synchronous Machine(21);Synchronous Machine(21);Synchronous Machine(21);Synchronous Machine(21);Synchronous Machine(21);Synchronous Machine(26);Synchronous Machine(26);Synchronous Machine(26);Synchronous Machine(26);Synchronous Machine(26);Synchronous Machine(26);Synchronous Machine(31);Synchronous Machine(31);Synchronous Machine(31);Synchronous Machine(31);Synchronous Machine(31);Synchronous Machine(31);Synchronous Machine(32);Synchronous Machine(32);Synchronous Machine(32);Synchronous Machine(32);Synchronous Machine(32);Synchronous Machine(32);Synchronous Machine(33);Synchronous Machine(33);Synchronous Machine(33);Synchronous Machine(33);Synchronous Machine(33);Synchronous Machine(33)
"b:tnow in s";"n:fehz:bus1 in Hz";"n:u1:bus1 in p.u.";"n:u1:bus1 in p.u.";"m:P:bus1 in MW";"s:firel in deg";"s:outofstep";"n:fehz:bus1 in Hz";"n:u1:bus1 in p.u.";"n:u1:bus1 in p.u.";"m:P:bus1 in MW";"s:firel in deg";"s:outofstep";"n:fehz:bus1 in Hz";"n:u1:bus1 in p.u.";"n:u1:bus1 in p.u.";"m:P:bus1 in MW";"s:firel in deg";"s:outofstep";"n:fehz:bus1 in Hz";"n:u1:bus1 in p.u.";"n:u1:bus1 in p.u.";"m:P:bus1 in MW";"s:firel in deg";"s:outofstep";"n:fehz:bus1 in Hz";"n:u1:bus1 in p.u.";"n:u1:bus1 in p.u.";"m:P:bus1 in MW";"s:firel in deg";"s:outofstep";"n:fehz:bus1 in Hz";"n:u1:bus1 in p.u.";"n:u1:bus1 in p.u.";"m:P:bus1 in MW";"s:firel in deg";"s:outofstep";"n:fehz:bus1 in Hz";"n:u1:bus1 in p.u.";"n:u1:bus1 in p.u.";"m:P:bus1 in MW";"s:firel in deg";"s:outofstep";"n:fehz:bus1 in Hz";"n:u1:bus1 in p.u.";"n:u1:bus1 in p.u.";"m:P:bus1 in MW";"s:firel in deg";"s:outofstep";"n:fehz:bus1 in Hz";"n:u1:bus1 in p.u.";"n:u1:bus1 in p.u.";"m:P:bus1 in MW";"s:firel in deg";"s:outofstep"
3,090000;50,000000;0,999422;0,999422;150,000000;28,797028;0,000000;50,000000;1,000000;1,000000;190,000000;15,422529;0,000000;50,000000;1,000000;1,000000;16,666666;3,756743;0,000000;50,000000;1,000000;1,000000;120,000000;18,509660;0,000000;50,000000;1,000000;1,000000;404,000000;43,662521;0,000000;50,000000;1,000000;1,000000;82,500000;52,494240;0,000000;50,000000;1,000000;1,000000;145,000000;25,473820;0,000000;50,000000;1,000000;1,000000;165,000000;19,743958;0,000000;50,000000;1,000000;1,000000;45,470751;0,000000;0,000000
3,100000;50,000000;0,999422;0,999422;150,000000;28,797028;0,000000;50,000000;1,000000;1,000000;190,000000;15,422529;0,000000;50,000000;1,000000;1,000000;16,666666;3,756743;0,000000;50,000000;1,000000;1,000000;120,000000;18,509660;0,000000;50,000000;1,000000;1,000000;404,000000;43,662521;0,000000;50,000000;1,000000;1,000000;82,500000;52,494240;0,000000;50,000000;1,000000;1,000000;145,000000;25,473820;0,000000;50,000000;1,000000;1,000000;165,000000;19,743958;0,000000;50,000000;1,000000;1,000000;45,470751;0,000000;0,000000
3,110000;50,000000;0,999422;0,999422;150,000000;28,797028;0,000000;50,000000;1,000000;1,000000;190,000000;15,422529;0,000000;50,000000;1,000000;1,000000;16,666666;3,756743;0,000000;50,000000;1,000000;1,000000;120,000000;18,509660;0,000000;50,000000;1,000000;1,000000;404,000000;43,662521;0,000000;50,000000;1,000000;1,000000;82,500000;52,494240;0,000000;50,000000;1,000000;1,000000;145,000000;25,473820;0,000000;50,000000;1,000000;1,000000;165,000000;19,743958;0,000000;50,000000;1,000000;1,000000;45,470751;0,000000;0,000000
3,120000;50,000000;0,999422;0,999422;150,000000;28,797028;0,000000;50,000000;1,000000;1,000000;190,000000;15,422529;0,000000;50,000000;1,000000;1,000000;16,666666;3,756743;0,000000;50,000000;1,000000;1,000000;120,000000;18,509660;0,000000;50,000000;1,000000;1,000000;404,000000;43,662521;0,000000;50,000000;1,000000;1,000000;82,500000;52,494240;0,000000;50,000000;1,000000;1,000000;145,000000;25,473820;0,000000;50,000000;1,000000;1,000000;165,000000;19,743958;0,000000;50,000000;1,000000;1,000000;45,470751;0,000000;0,000000
3,130000;50,000000;0,999422;0,999422;150,000000;28,797028;0,000000;50,000000;1,000000;1,000000;190,000000;15,422529;0,000000;50,000000;1,000000;1,000000;16,666666;3,756743;0,000000;50,000000;1,000000;1,000000;120,000000;18,509660;0,000000;50,000000;1,000000;1,000000;404,000000;43,662521;0,000000;50,000000;1,000000;1,000000;82,500000;52,494240;0,000000;50,000000;1,000000;1,000000;145,000000;25,473820;0,000000;50,000000;1,000000;1,000000;165,000000;19,743958;0,000000;50,000000;1,000000;1,000000;45,470751;0,000000;0,000000
3,140000;50,000000;0,999422;0,999422;150,000000;28,797028;0,000000;50,000000;1,000000;1,000000;190,000000;15,422529;0,000000;50,000000;1,000000;1,000000;16,666666;3,756743;0,000000;50,000000;1,000000;1,000000;120,000000;18,509660;0,000000;50,000000;1,000000;1,000000;404,000000;43,662521;0,000000;50,000000;1,000000;1,000000;82,500000;52,494240;0,000000;50,000000;1,000000;1,000000;145,000000;25,473820;0,000000;50,000000;1,000000;1,000000;165,000000;19,743958;0,000000;50,000000;1,000000;1,000000;45,470751;0,000000;0,000000
3,150000;50,000000;0,999422;0,999422;150,000000;28,797028;0,000000;50,000000;1,000000;1,000000;190,000000;15,422529;0,000000;50,000000;1,000000;1,000000;16,666666;3,756743;0,000000;50,000000;1,000000;1,000000;120,000000;18,509660;0,000000;50,000000;1,000000;1,000000;404,000000;43,662521;0,000000;50,000000;1,000000;1,000000;82,500000;52,494240;0,000000;50,000000;1,000000;1,000000;145,000000;25,473820;0,000000;50,000000;1,000000;1,000000;165,000000;19,743958;0,000000;50,000000;1,000000;1,000000;45,470751;0,000000;0,000000
3,160000;50,000000;0,999422;0,999422;150,000000;28,797028;0,000000;50,000000;1,000000;1,000000;190,000000;15,422529;0,000000;50,000000;1,000000;1,000000;16,666666;3,756743;0,000000;50,000000;1,000000;1,000000;120,000000;18,509660;0,000000;50,000000;1,000000;1,000000;404,000000;43,662521;0,000000;50,000000;1,000000;1,000000;82,500000;52,494240;0,000000;50,000000;1,000000;1,000000;145,000000;25,473820;0,000000;50,000000;1,000000;1,000000;165,000000;19,743958;0,000000;50,000000;1,000000;1,000000;45,470751;0,000000;0,000000
3,170000;50,000000;0,999422;0,999422;150,000000;28,797028;0,000000;50,000000;1,000000;1,000000;190,000000;15,422529;0,000000;50,000000;1,000000;1,000000;16,666666;3,756743;0,000000;50,000000;1,000000;1,000000;120,000000;18,509660;0,000000;50,000000;1,000000;1,000000;404,000000;43,662521;0,000000;50,000000;1,000000;1,000000;82,500000;52,494240;0,000000;50,000000;1,000000;1,000000;145,000000;25,473820;0,000000;50,000000;1,000000;1,000000;165,000000;19,743958;0,000000;50,000000;1,000000;1,000000;45,470751;0,000000;0,000000
3,180000;50,000000;0,999422;0,999422;150,000000;28,797028;0,000000;50,000000;1,000000;1,000000;190,000000;15,422529;0,000000;50,000000;1,000000;1,000000;16,666666;3,756743;0,000000;50,000000;1,000000;1,000000;120,000000;18,509660;0,000000;50,000000;1,000000;1,000000;404,000000;43,662521;0,000000;50,000000;1,000000;1,000000;82,500000;52,494240;0,000000;50,000000;1,000000;1,000000;145,000000;25,473820;0,000000;50,000000;1,000000;1,000000;165,000000;19,743958;0,000000;50,000000;1,000000;1,000000;45,470751;0,000000;0,000000
